"";"X";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"382";5167;"SP";3401103;"ALTO ALEGRE";41
"383";5168;"SP";3401152;"ALUMINIO";41
"384";5169;"SP";3401202;"ALVARES FLORENCE";41
"385";5170;"SP";3401301;"ALVARES MACHADO";41
"386";5171;"SP";3401400;"ALVARO DE CARVALHO";41
"387";5172;"SP";3401509;"ALVINLANDIA";41
"388";5173;"SP";3401608;"AMERICANA";41
"389";5174;"SP";3439004;"PIRANGI";41
"390";5175;"SP";3439103;"PIRAPORA DO BOM JESUS";41
"391";5176;"SP";3439202;"PIRAPOZINHO";41
"392";5177;"SP";3439301;"PIRASSUNUNGA";41
"393";5178;"SP";3439400;"PIRATININGA";41
"394";5179;"SP";3428809;"MARACAI";41
"395";5180;"SP";3439608;"PLANALTO";41
"396";5181;"SP";3439707;"PLATINA";41
"397";5182;"SP";3439806;"POA";41
"398";5183;"SP";3439905;"POLONI";41
"399";5184;"SP";3440002;"POMPEIA";41
"400";5185;"SP";3440101;"PONGAI";41
"401";5186;"SP";3406607;"BIRITIBA-MIRIM";41
"402";5187;"SP";3406706;"BOA ESPERANCA DO SUL";41
"403";5188;"SP";3406805;"BOCAINA";41
"404";5189;"SP";3406904;"BOFETE";41
"405";5190;"SP";3407001;"BOITUVA";41
"406";5191;"SP";3407100;"BOM JESUS DOS PERDOES";41
"407";5192;"SP";3407159;"BOM SUCESSO DE ITARARE";41
"408";5193;"SP";3407209;"BORA";41
"409";5194;"SP";3407308;"BORACEIA";41
"410";5195;"SP";3407407;"BORBOREMA";41
"411";5196;"SP";3451009;"SAO VICENTE";41
"412";5197;"SP";3451108;"SARAPUI";41
"413";5198;"SP";3451207;"SARUTAIA";41
"414";5199;"SP";3451306;"SEBASTIANOPOLIS DO SUL";41
"415";5200;"SP";3451405;"SERRA AZUL";41
"416";5201;"SP";3451504;"SERRANA";41
"417";5202;"SP";3451603;"SERRA NEGRA";41
"418";5203;"SP";3451702;"SERTAOZINHO";41
"419";5204;"SP";3451801;"SETE BARRAS";41
"420";5205;"SP";3427405;"LUCELIA";41
"421";5206;"SP";3427504;"LUCIANOPOLIS";41
"422";5207;"SP";3427603;"LUIS ANTONIO";41
"423";5208;"SP";3427702;"LUIZIANIA";41
"424";5209;"SP";3427801;"LUPERCIO";41
"425";5210;"SP";3427900;"LUTECIA";41
"426";5211;"SP";3428007;"MACATUBA";41
"427";5212;"SP";3428106;"MACAUBAL";41
"428";5213;"SP";3428205;"MACEDONIA";41
"429";5214;"SP";3428304;"MAGDA";41
"430";5215;"SP";3428403;"MAIRINQUE";41
"431";5216;"SP";3428502;"MAIRIPORA";41
"432";5217;"SP";3428601;"MANDURI";41
"433";5218;"SP";3428700;"MARABA PAULISTA";41
"434";5219;"SP";3402101;"ANDRADINA";41
"435";5220;"SP";3428858;"MARAPOAMA";41
"436";5221;"SP";3428908;"MARIAPOLIS";41
"437";5222;"SP";3429005;"MARILIA";41
"438";5223;"SP";3416903;"GENERAL SALGADO";41
"439";5224;"SP";3406409;"BILAC";41
"440";5225;"SP";3406508;"BIRIGUI";41
"441";5226;"SP";3425607;"JOAO RAMALHO";41
"442";5227;"SP";3425706;"JOSE BONIFACIO";41
"443";5228;"SP";3425805;"JULIO MESQUITA";41
"444";5229;"SP";3425854;"JUMIRIM";41
"445";5230;"SP";3425904;"JUNDIAI";41
"446";5231;"SP";3426001;"JUNQUEIROPOLIS";41
"447";5232;"SP";3426100;"JUQUIA";41
"448";5233;"SP";3426209;"JUQUITIBA";41
"449";5234;"SP";3426308;"LAGOINHA";41
"450";5235;"SP";3426407;"LARANJAL PAULISTA";41
"451";5236;"SP";3407456;"BOREBI";41
"452";5237;"SP";3407506;"BOTUCATU";41
"453";5238;"SP";3418404;"GUARATINGUETA";41
"454";5239;"SP";3418503;"GUAREI";41
"455";5240;"SP";3418602;"GUARIBA";41
"456";5241;"SP";3418701;"GUARUJA";41
"457";5242;"SP";3418800;"GUARULHOS";41
"458";5243;"SP";3418859;"GUATAPARA";41
"459";5244;"SP";3418909;"GUZOLANDIA";41
"460";5245;"SP";3408207;"BURITIZAL";41
"461";5246;"SP";3408306;"CABRALIA PAULISTA";41
"462";5247;"SP";3431308;"MONTE ALTO";41
"463";5248;"SP";3431407;"MONTE APRAZIVEL";41
"464";5249;"SP";3431506;"MONTE AZUL PAULISTA";41
"465";5250;"SP";3431605;"MONTE CASTELO";41
"466";5251;"SP";3431704;"MONTEIRO LOBATO";41
"467";5252;"SP";3431803;"MONTE MOR";41
"468";5253;"SP";3431902;"MORRO AGUDO";41
"469";5254;"SP";3432009;"MORUNGABA";41
"470";5255;"SP";3432058;"MOTUCA";41
"471";5256;"SP";3432108;"MURUTINGA DO SUL";41
"472";5257;"SP";3432157;"NANTES";41
"473";5258;"SP";3432207;"NARANDIBA";41
"474";5259;"SP";3405906;"BATATAIS";41
"475";5260;"SP";3402200;"ANGATUBA";41
"476";5261;"SP";3425102;"JARDINOPOLIS";41
"477";5262;"SP";3425201;"JARINU";41
"478";5263;"SP";3425300;"JAU";41
"479";5264;"SP";3425409;"JERIQUARA";41
"480";5265;"SP";3425508;"JOANOPOLIS";41
"481";5266;"SP";3429203;"MARTINOPOLIS";41
