Ano;Mês;Município;"Valor FOB (US$)";"Quilograma Líquido"
2020;11;"Santa Bárbara d'Oeste - SP";13213680;1261118
2020;11;"Santo Antônio de Posse - SP";8895090;927683
2020;11;"Sumaré - SP";110287953;29755734
2020;11;"Valinhos - SP";53029380;7250969
2020;11;"Vinhedo - SP";63721123;10813431
2020;10;"Artur Nogueira - SP";2924262;776134
2020;10;"Campinas - SP";247260270;24904066
2020;10;"Cosmópolis - SP";10999815;452033
2020;10;"Engenheiro Coelho - SP";248898;327437
2020;10;"Holambra - SP";2768464;355124
2020;10;"Hortolândia - SP";66795209;2597330
2020;10;"Indaiatuba - SP";94534551;43491349
2020;10;"Itatiba - SP";30249576;6194513
2020;10;"Jaguariúna - SP";84711927;3192385
2020;10;"Monte Mor - SP";10261362;1893031
2020;10;"Morungaba - SP";372764;340678
2020;10;"Nova Odessa - SP";7695669;1727950
2020;10;"Paulínia - SP";334285897;44420798
2020;10;"Pedreira - SP";319344;223690
2020;10;"Santa Bárbara d'Oeste - SP";23492489;1343954
2020;10;"Santo Antônio de Posse - SP";4893546;919744
2020;10;"Sumaré - SP";104184267;32030463
2020;10;"Valinhos - SP";23558051;3674462
2020;10;"Vinhedo - SP";45439425;7847257
2020;09;"Artur Nogueira - SP";1715759;495487
2020;09;"Campinas - SP";228682264;21246230
2020;09;"Cosmópolis - SP";4744207;317917
2020;09;"Engenheiro Coelho - SP";574788;190489
2020;09;"Holambra - SP";3181060;151265
2020;09;"Hortolândia - SP";83437324;3271232
2020;09;"Indaiatuba - SP";85196680;23065841
2020;09;"Itatiba - SP";19971077;4157857
2020;09;"Jaguariúna - SP";88107161;3019569
2020;09;"Monte Mor - SP";10693519;2222258
2020;09;"Morungaba - SP";1244716;1235805
2020;09;"Nova Odessa - SP";6465297;1908437
2020;09;"Paulínia - SP";349386036;53590342
2020;09;"Pedreira - SP";229978;172992
2020;09;"Santa Bárbara d'Oeste - SP";17201576;1185100
2020;09;"Santo Antônio de Posse - SP";8235818;1042712
2020;09;"Sumaré - SP";120669497;59929809
2020;09;"Valinhos - SP";25712916;3094387
2020;09;"Vinhedo - SP";60592651;9173357
2020;08;"Artur Nogueira - SP";1499780;411644
2020;08;"Campinas - SP";246082886;14810254
2020;08;"Cosmópolis - SP";10844773;400943
2020;08;"Engenheiro Coelho - SP";31255;57654
2020;08;"Holambra - SP";3890985;355503
2020;08;"Hortolândia - SP";64508183;1891153
2020;08;"Indaiatuba - SP";65277456;37701686
2020;08;"Itatiba - SP";15870355;4042865
2020;08;"Jaguariúna - SP";85421043;2432017
2020;08;"Monte Mor - SP";10721580;2693247
2020;08;"Morungaba - SP";422288;264828
2020;08;"Nova Odessa - SP";4631639;1314781
2020;08;"Paulínia - SP";359181875;57133390
2020;08;"Pedreira - SP";672279;181977
2020;08;"Santa Bárbara d'Oeste - SP";17376464;812880
2020;08;"Santo Antônio de Posse - SP";6225822;1013196
2020;08;"Sumaré - SP";71238426;58138734
2020;08;"Valinhos - SP";36460864;4354954
2020;08;"Vinhedo - SP";40487215;5834859
2020;07;"Artur Nogueira - SP";2587303;727847
2020;07;"Campinas - SP";221462636;14102215
2020;07;"Cosmópolis - SP";5506728;638112
2020;07;"Engenheiro Coelho - SP";628990;330611
2020;07;"Holambra - SP";4595145;346269
2020;07;"Hortolândia - SP";56418055;1867808
2020;07;"Indaiatuba - SP";54331517;25655026
2020;07;"Itatiba - SP";19538785;3719356
2020;07;"Jaguariúna - SP";85119506;2585322
2020;07;"Monte Mor - SP";12174639;2467462
2020;07;"Morungaba - SP";244458;5276
2020;07;"Nova Odessa - SP";4220891;1215469
2020;07;"Paulínia - SP";378696329;47370539
2020;07;"Pedreira - SP";308895;283861
2020;07;"Santa Bárbara d'Oeste - SP";10896000;516323
2020;07;"Santo Antônio de Posse - SP";6938521;968480
2020;07;"Sumaré - SP";75218371;61900163
2020;07;"Valinhos - SP";43647986;2871056
2020;07;"Vinhedo - SP";41518343;6420386
2020;06;"Artur Nogueira - SP";2529436;696464
2020;06;"Campinas - SP";189282221;25711994
2020;06;"Cosmópolis - SP";11609129;408987
2020;06;"Engenheiro Coelho - SP";27476;53273
2020;06;"Holambra - SP";2991227;278343
2020;06;"Hortolândia - SP";50141368;2512685
2020;06;"Indaiatuba - SP";58061739;55893894
2020;06;"Itatiba - SP";19104549;4114496
2020;06;"Jaguariúna - SP";65724465;2350272
2020;06;"Monte Mor - SP";12008356;2208318
2020;06;"Morungaba - SP";237292;14541
2020;06;"Nova Odessa - SP";5127730;870280
2020;06;"Paulínia - SP";414559043;52774123
2020;06;"Pedreira - SP";260461;303089
2020;06;"Santa Bárbara d'Oeste - SP";5958997;516937
2020;06;"Santo Antônio de Posse - SP";3840974;760891
2020;06;"Sumaré - SP";71316743;67007805
2020;06;"Valinhos - SP";24595673;3369484
2020;06;"Vinhedo - SP";45847491;8946030
2020;05;"Artur Nogueira - SP";4221854;1092396
2020;05;"Campinas - SP";154040705;31019197
2020;05;"Cosmópolis - SP";6971623;388781
2020;05;"Engenheiro Coelho - SP";6813;3
2020;05;"Holambra - SP";1797184;224936
2020;05;"Hortolândia - SP";41736726;3570382
2020;05;"Indaiatuba - SP";82489178;48228007
2020;05;"Itatiba - SP";15019268;4314814
2020;05;"Jaguariúna - SP";83542458;2722937
2020;05;"Monte Mor - SP";9904920;2167495
2020;05;"Morungaba - SP";172809;14888
2020;05;"Nova Odessa - SP";4395339;1019486
2020;05;"Paulínia - SP";319144130;50248543
2020;05;"Pedreira - SP";171400;170913
2020;05;"Santa Bárbara d'Oeste - SP";17563953;934837
2020;05;"Santo Antônio de Posse - SP";3682489;268675
2020;05;"Sumaré - SP";49465875;31235334
2020;05;"Valinhos - SP";19567300;3895076
2020;05;"Vinhedo - SP";42040912;8494240
2020;04;"Artur Nogueira - SP";4281781;1099478
2020;04;"Campinas - SP";166011009;19918136
2020;04;"Cosmópolis - SP";4630275;225533
2020;04;"Engenheiro Coelho - SP";206775;16606
2020;04;"Holambra - SP";2807096;529856
2020;04;"Hortolândia - SP";53070630;2167455
2020;04;"Indaiatuba - SP";90274348;31353104
2020;04;"Itatiba - SP";15841588;4461679
2020;04;"Jaguariúna - SP";75491407;3029492
2020;04;"Monte Mor - SP";8955287;1871255
2020;04;"Morungaba - SP";2542205;541230
2020;04;"Nova Odessa - SP";4335243;868690
2020;04;"Paulínia - SP";304976515;76943712
2020;04;"Pedreira - SP";218164;88152
2020;04;"Santa Bárbara d'Oeste - SP";8126522;2844971
2020;04;"Santo Antônio de Posse - SP";5378356;317904
2020;04;"Sumaré - SP";44739226;15640398
2020;04;"Valinhos - SP";27869278;3801232
2020;04;"Vinhedo - SP";44520173;10736660
2020;03;"Artur Nogueira - SP";5465030;2142082
2020;03;"Campinas - SP";262022214;21180328
2020;03;"Cosmópolis - SP";2285035;275621
2020;03;"Engenheiro Coelho - SP";110589;56161
2020;03;"Holambra - SP";4006404;492176
2020;03;"Hortolândia - SP";71024860;3178661
2020;03;"Indaiatuba - SP";103034594;67791242
2020;03;"Itatiba - SP";25900396;5406012
2020;03;"Jaguariúna - SP";86886701;3374714
2020;03;"Monte Mor - SP";8403534;1980777
2020;03;"Morungaba - SP";294712;193032
2020;03;"Nova Odessa - SP";7870733;1137989
2020;03;"Paulínia - SP";254239401;48548121
2020;03;"Pedreira - SP";877389;381103
2020;03;"Santa Bárbara d'Oeste - SP";7648373;1336300
2020;03;"Santo Antônio de Posse - SP";4539384;1154860
2020;03;"Sumaré - SP";73051551;20461781
2020;03;"Valinhos - SP";36745524;5736671
2020;03;"Vinhedo - SP";56487383;9550960
2020;02;"Artur Nogueira - SP";2239785;2666801
2020;02;"Campinas - SP";225080550;17291033
2020;02;"Cosmópolis - SP";9184197;60986
2020;02;"Engenheiro Coelho - SP";61921;216249
2020;02;"Holambra - SP";3039249;579925
2020;02;"Hortolândia - SP";61327915;3095322
2020;02;"Indaiatuba - SP";64549488;21175375
2020;02;"Itatiba - SP";22702603;4510347
2020;02;"Jaguariúna - SP";34620857;2301342
2020;02;"Monte Mor - SP";8128050;855868
2020;02;"Morungaba - SP";109685;99435
2020;02;"Nova Odessa - SP";5793722;1228253
2020;02;"Paulínia - SP";261668123;63238068
2020;02;"Pedreira - SP";588820;170564
2020;02;"Santa Bárbara d'Oeste - SP";6821208;831281
2020;02;"Santo Antônio de Posse - SP";3789004;376598
2020;02;"Sumaré - SP";78847112;21948813
2020;02;"Valinhos - SP";27070254;3338278
2020;02;"Vinhedo - SP";42156477;7033388
2020;01;"Artur Nogueira - SP";5154009;2461023
2020;01;"Campinas - SP";241824635;24970753
2020;01;"Cosmópolis - SP";10543970;204370
2020;01;"Engenheiro Coelho - SP";91337;109858
2020;01;"Holambra - SP";3805700;600062
2020;01;"Hortolândia - SP";77871136;3796738
2020;01;"Indaiatuba - SP";98448503;57287709
2020;01;"Itatiba - SP";27842466;5655452
2020;01;"Jaguariúna - SP";133360262;4555808
2020;01;"Monte Mor - SP";11995536;2007376
2020;01;"Morungaba - SP";1710145;680795
2020;01;"Nova Odessa - SP";7083875;1238866
2020;01;"Paulínia - SP";260911543;54526785
2020;01;"Pedreira - SP";735526;324116
2020;01;"Santa Bárbara d'Oeste - SP";9464959;1280336
2020;01;"Santo Antônio de Posse - SP";3362294;963442
2020;01;"Sumaré - SP";113294196;38851137
2020;01;"Valinhos - SP";24449402;3828837
2020;01;"Vinhedo - SP";53847695;10040010
2019;12;"Artur Nogueira - SP";2573396;556548
2019;12;"Campinas - SP";193561793;26721746
2019;12;"Cosmópolis - SP";5429648;206674
2019;12;"Engenheiro Coelho - SP";151593;134477
2019;12;"Holambra - SP";3396009;353306
2019;12;"Hortolândia - SP";74399298;2651303
2019;12;"Indaiatuba - SP";78990070;29051352
2019;12;"Itatiba - SP";16562229;3481386
2019;12;"Jaguariúna - SP";101453213;3364972
2019;12;"Monte Mor - SP";12990623;2587348
2019;12;"Morungaba - SP";515277;292291
2019;12;"Nova Odessa - SP";4213432;797694
2019;12;"Paulínia - SP";224710445;66788595
2019;12;"Pedreira - SP";583143;259618
2019;12;"Santa Bárbara d'Oeste - SP";5350982;725236
2019;12;"Santo Antônio de Posse - SP";4363611;747117
2019;12;"Sumaré - SP";86570564;34069554
2019;12;"Valinhos - SP";24795647;5265939
2019;12;"Vinhedo - SP";42139657;6789554
2019;11;"Artur Nogueira - SP";3486182;801467
2019;11;"Campinas - SP";225695173;19135149
2019;11;"Cosmópolis - SP";5056684;139765
2019;11;"Engenheiro Coelho - SP";44185;82487
2019;11;"Holambra - SP";4268109;356760
2019;11;"Hortolândia - SP";87478447;2490361
2019;11;"Indaiatuba - SP";89825269;10709339
2019;11;"Itatiba - SP";21906070;4310212
2019;11;"Jaguariúna - SP";95060956;3785151
